cid,course name,subject
ERS215,Environmental and Sustainability Assessment 1,ERS
MTE219,Mechanics of Deformable Solids,MTE
SE390,Design Project Planning,SE
ECE351,Compilers,ECE
FINE100,Studio Fundamentals,FINE
ME202,Statistics for Engineers,ME
ME269,Electromechanical Devices and Power Processing,ME
PHIL215,Professional and Business Ethics,PHIL
PHYS131L,Mechanics Laboratory,PHYS
ECE200B,Electrical and Computer Engineering Practice,ECE
ENGL306A,Introduction to Linguistics,ENGL
MATH106,Applied Linear Algebra 1,MATH
ME201,Advanced Calculus,ME
MTE262,Introduction to Microprocessors and Digital Logic,MTE
REC280,Introduction to Tourism,REC
SDS150R,Lifespan Processes,SDS
CS230,Introduction to Computers and Computer Systems,CS
CS454,Distributed Systems,CS
GBDA101,Introduction to Digital Media Design,GBDA
MATH247,Calculus 3 (Advanced Level),MATH
SMF101,Introduction to Relationships and Families,SMF
SPCOM225,Interviewing,SPCOM
CS246E,Object-Oriented Software Development (Enriched),CS
CS466,Algorithm Design and Analysis,CS
ECE254,Operating Systems and Systems Programming,ECE
PD7,Conflict Resolution,PD
STV202,Design and Society,STV
SYDE211,Calculus 3,SYDE
AFM112,Analytic Methods for Business 1,AFM
AFM123,Accounting Information for Managers,AFM
AFM241,Impact of Technology on Business,AFM
CHEM220,Intro Analytical Chemistry,CHEM
EARTH123,Introductory Hydrology,EARTH
ECON202,Macroeconomic Theory 1,ECON
MATH124,Calculus and Vector Algebra for Kinesiology,MATH
PHYS263,Classical Mechanics and Special Relativity,PHYS
SDS131R,Political Ideologies and Social Development,SDS
SOCWK120R,Introduction to Social Work,SOCWK
CIVE121,Computational Methods,CIVE
ECE356,Database Systems,ECE
ECON344,Principles of Marketing,ECON
MSCI311,Organizational Design and Technology,MSCI
PMATH347,Groups and Rings,PMATH
ARBUS100,Introduction to Arts and Business,ARBUS
CHE100,Chemical Engineering Concepts 1,CHE
PD13,Research in the Workplace,PD
CHEM264,Organic Chemistry 1,CHEM
PSCI150,Introduction to Global Politics,PSCI
SYDE223,Data Structures and Algorithms,SYDE
MTE121,Digital Computation,MTE
EMLS129R,Written Academic English,EMLS
ME250,Thermodynamics 1,ME
ECE109,Materials Chemistry for Engineers,ECE
SYDE192L,Digital Systems Laboratory,SYDE
MTE380,Mechatronics Engineering Design Workshop,MTE
PACS202,Conflict Resolution,PACS
SYDE162,Human Factors in Design,SYDE
CHEM267L,Organic Chemistry Laboratory,CHEM
CIVE115,Linear Algebra,CIVE
NE121,Chemical Principles,NE
SE201,Seminar,SE
SYDE192,Digital Systems,SYDE
AFM391,Intermediate Financial Accounting 2,AFM
CS360,Introduction to the Theory of Computing,CS
MUSIC100,Understanding Music,MUSIC
NE100,Introduction to Nanotechnology Engineering,NE
PD6,Problem Solving,PD
PHYS125,Physics for Engineers,PHYS
PSYCH292,Basic Data Analysis,PSYCH
ACTSC372,Investment Science and Corporate Finance,ACTSC
AVIA100,Introduction to Aviation,AVIA
HLTH260,Social Determinants of Health,HLTH
MTE220,Sensors and Instrumentation,MTE
NE112,Linear Algebra for Nanotechnology Engineers,NE
CS114,Principles of Computing for Science,CS
CS485,Statistical and Computational Foundations of Machine Learning,CS
ECE484,Digital Control Applications,ECE
CS105,Introduction to Computer Programming 1,CS
ECE300A,Electrical and Computer Engineering Practice,ECE
ENVS201,Introduction to Canadian Environmental Law,ENVS
PMATH340,Elementary Number Theory,PMATH
AFM273,Financial Instruments and Capital Markets,AFM
AMATH231,Calculus 4,AMATH
ECE252,Systems Programming and Concurrency,ECE
ECE454,Distributed Computing,ECE
HLTH204,Quantitative Approaches to Health Science,HLTH
KIN121,Biomechanics of Human Movement,KIN
MTE241,Introduction to Computer Structures and Real-Time Systems,MTE
PLAN210,Community Design Fundamentals for Planners,PLAN
AFM341,Accounting Information Systems,AFM
CHINA101R,First-Year Chinese 1,CHINA
CIVE105,Mechanics 2,CIVE
GEOG207,Climate Change Fundamentals,GEOG
PHYS242,Electricity and Magnetism 1,PHYS
CS492,The Social Implications of Computing,CS
MTE360,Automatic Control Systems,MTE
